State,District,PVI
Alabama,1,R+12
Alabama,2,R+14
Alabama,3,R+7
Alabama,4,R+6
Alabama,5,R+7
Alabama,6,R+25
Alabama,7,D+19
Alaska,1,R+13
Arizona,1,R+7
Arizona,2,D+12
Arizona,3,R+9
Arizona,4,R+9
Arizona,5,R+2
Arizona,6,R+3
Arkansas,1,D+10
Arkansas,2,D+6
Arkansas,3,R+4
Arkansas,4,D+11
California,1,D+6
California,2,R+9
California,3,R+3
California,4,R+10
California,5,D+8
California,6,D+14
California,7,D+19
California,8,D+27
California,9,D+32
California,10,EVEN
California,11,R+3
California,12,D+18
California,13,D+15
California,14,D+12
California,15,D+6
California,16,D+13
California,17,D+10
California,18,R+3
California,19,R+9
California,20,D+2
California,21,R+15
California,22,R+2
California,23,R+2
California,24,D+6
California,25,R+7
California,26,D+17
California,27,D+1
California,28,R+5
California,29,D+21
California,30,D+21
California,31,D+13
California,32,D+32
California,33,D+25
California,34,D+12
California,35,D+33
California,36,R+1
California,37,D+30
California,38,D+4
California,39,R+9
California,40,R+9
California,41,R+7
California,42,D+5
California,43,R+5
California,44,R+3
California,45,R+11
California,46,R+3
California,47,R+14
California,48,R+15
California,49,D+2
California,50,D+9
California,51,R+11
California,52,R+7
Colorado,1,D+13
Colorado,2,D+4
Colorado,3,R+3
Colorado,4,R+7
Colorado,5,R+18
Colorado,6,R+6
Connecticut,1,D+10
Connecticut,2,D+7
Connecticut,3,D+6
Connecticut,4,R+1
Connecticut,5,R+4
Connecticut,6,D+1
Delaware,1,D+3
Florida,1,R+20
Florida,2,R+1
Florida,3,D+10
Florida,4,R+16
Florida,5,D+2
Florida,6,R+12
Florida,7,R+8
Florida,8,R+10
Florida,9,R+6
Florida,10,D+1
Florida,11,EVEN
Florida,12,R+9
Florida,13,R+8
Florida,14,R+13
Florida,15,R+10
Florida,16,R+4
Florida,17,D+29
Florida,18,R+13
Florida,19,D+13
Florida,20,D+8
Florida,21,R+13
Florida,22,D+3
Florida,23,D+22
Georgia,1,R+8
Georgia,2,D+6
Georgia,3,R+10
Georgia,4,D+3
Georgia,5,D+21
Georgia,6,R+19
Georgia,7,R+10
Georgia,8,R+5
Georgia,9,R+14
Georgia,10,R+6
Georgia,11,D+3
Hawaii,1,D+5
Hawaii,2,D+8
Idaho,1,R+13
Idaho,2,R+16
Illinois,1,D+34
Illinois,2,D+33
Illinois,3,D+1
Illinois,4,D+25
Illinois,5,D+10
Illinois,6,R+10
Illinois,7,D+31
Illinois,8,R+12
Illinois,9,D+17
Illinois,10,R+3
Illinois,11,D+2
Illinois,12,D+10
Illinois,13,R+11
Illinois,14,R+9
Illinois,15,R+3
Illinois,16,R+7
Illinois,17,D+3
Illinois,18,R+4
Illinois,19,D+2
Illinois,20,D+2
Indiana,1,D+10
Indiana,2,R+8
Indiana,3,R+6
Indiana,4,R+14
Indiana,5,R+12
Indiana,6,R+24
Indiana,7,R+14
Indiana,8,R+3
Indiana,9,R+4
Indiana,10,D+4
Iowa,1,D+4
Iowa,2,D+3
Iowa,3,D+2
Iowa,4,R+1
