State,District,PVI,,,,,
Alabama,1,R+13,,,,,
Alabama,2,R+14,,,,,
Alabama,3,R+5,,,,,
Alabama,4,R+16,,,,,
Alabama,5,R+7,,,,,
Alabama,6,R+26,,,,,
Alabama,7,D+16,,,,,
Alaska,99,R+15,,,,,
Arizona,1,R+3,,,,,
Arizona,2,R+9,,,,,
Arizona,3,R+7,,,,,
Arizona,4,D+14,,,,,
Arizona,5,R+4,,,,,
Arizona,6,R+13,,,,,
Arizona,7,D+9,,,,,
Arizona,8,R+2,,,,,
Arkansas,1,EVEN,,,,,
Arkansas,2,R+1,,,,,
Arkansas,3,R+12,,,,,
Arkansas,4,EVEN,,,,,
California,1,D+10,,,,,
California,2,R+13,,,,,
California,3,R+7,,,,,
California,4,R+12,,,,,
California,5,D+13,,,,,
California,6,D+20,,,,,
California,7,D+19,,,,,
California,8,D+35,,,,,
California,9,D+37,,,,,
California,10,D+9,,,,,
California,11,R+4,,,,,
California,12,D+22,,,,,
California,13,D+21,,,,,
California,14,D+18,,,,,
California,15,D+14,,,,,
California,16,D+15,,,,,
California,17,D+16,,,,,
California,18,D+3,,,,,
California,19,R+10,,,,,
California,20,D+4,,,,,
California,21,R+14,,,,,
California,22,R+17,,,,,
California,23,D+9,,,,,
California,24,R+6,,,,,
California,25,R+8,,,,,
California,26,R+5,,,,,
California,27,D+12,,,,,
California,28,D+24,,,,,
California,29,D+12,,,,,
California,30,D+19,,,,,
California,31,D+30,,,,,
California,32,D+16,,,,,
California,33,D+35,,,,,
California,34,D+22,,,,,
California,35,D+32,,,,,
California,36,D+10,,,,,
California,37,D+27,,,,,
California,38,D+19,,,,,
California,39,D+12,,,,,
California,40,R+9,,,,,
California,41,R+10,,,,,
California,42,R+11,,,,,
California,43,D+12,,,,,
California,44,R+7,,,,,
California,45,R+4,,,,,
California,46,R+7,,,,,
California,47,D+4,,,,,
California,48,R+9,,,,,
California,49,R+11,,,,,
California,50,R+5,,,,,
California,51,D+7,,,,,
California,52,R+10,,,,,
California,53,D+12,,,,,
Colorado,1,D+17,,,,,
Colorado,2,D+7,,,,,
Colorado,3,R+6,,,,,
Colorado,4,R+9,,,,,
Colorado,5,R+16,,,,,
Colorado,6,R+11,,,,,
Colorado,7,D+2,,,,,
Connecticut,1,D+13,,,,,
Connecticut,2,D+7,,,,,
Connecticut,3,D+11,,,,,
Connecticut,4,D+5,,,,,
Connecticut,5,D+3,,,,,
Delaware,99,D+6,,,,,
Florida,1,R+20,,,,,
Florida,2,R+3,,,,,
Florida,3,D+16,,,,,
Florida,4,R+17,,,,,
Florida,5,R+6,,,,,
Florida,6,R+9,,,,,
Florida,7,R+5,,,,,
Florida,8,R+4,,,,,
Florida,9,R+5,,,,,
Florida,10,EVEN,,,,,
Florida,11,D+10,,,,,
Florida,12,R+6,,,,,
Florida,13,R+5,,,,,
Florida,14,R+11,,,,,
Florida,15,R+5,,,,,
Florida,16,R+3,,,,,
Florida,17,D+35,,,,,
Florida,18,R+5,,,,,
Florida,19,D+20,,,,,
Florida,20,D+17,,,,,
Florida,21,R+7,,,,,
Florida,22,D+3,,,,,
Florida,23,D+28,,,,,
Florida,24,R+4,,,,,
Florida,25,R+5,,,,,
Georgia,1,R+14,,,,,
Georgia,2,D+2,,,,,
Georgia,3,R+18,,,,,
Georgia,4,D+21,,,,,
Georgia,5,D+24,,,,,
Georgia,6,R+19,,,,,
Georgia,7,R+19,,,,,
Georgia,8,R+9,,,,,
Georgia,9,R+24,,,,,
Georgia,10,R+13,,,,,
Georgia,11,R+18,,,,,
Georgia,12,D+1,,,,,
Georgia,13,D+9,,,,,
Hawaii,1,D+6,,,,,
Hawaii,2,D+9,,,,,
Idaho,1,R+20,,,,,
Idaho,2,R+20,,,,,
Illinois,1,D+34,,,,,
Illinois,2,D+34,,,,,
Illinois,3,D+10,,,,,
Illinois,4,D+30,,,,,
Illinois,5,D+17,,,,,
Illinois,6,R+4,,,,,
Illinois,7,D+34,,,,,
Illinois,8,R+6,,,,,
Illinois,9,D+19,,,,,
Illinois,10,D+3,,,,,
Illinois,11,R+2,,,,,
Illinois,12,D+4,,,,,
Illinois,13,R+5,,,,,
Illinois,14,R+6,,,,,
Illinois,15,R+7,,,,,
Illinois,16,R+5,,,,,
Illinois,17,D+4,,,,,
Illinois,18,R+6,,,,,
Illinois,19,R+9,,,,,
Indiana,1,D+7,,,,,
Indiana,2,R+5,,,,,
Indiana,3,R+17,,,,,
Indiana,4,R+18,,,,,
Indiana,5,R+20,,,,,
Indiana,6,R+12,,,,,
Indiana,7,D+8,,,,,
Indiana,8,R+9,,,,,
Indiana,9,R+8,,,,,
Iowa,1,D+4,,,,,
Iowa,2,D+6,,,,,
Iowa,3,D+1,,,,,
Iowa,4,EVEN,,,,,
Iowa,5,R+9,,,,,
Kansas,1,R+21,,,,,
Kansas,2,R+8,,,,,
Kansas,3,R+5,,,,,
Kansas,4,R+13,,,,,
Kentucky,1,R+11,,,,,
Kentucky,2,R+14,,,,,
Kentucky,3,D+2,,,,,
Kentucky,4,R+12,,,,,
Kentucky,5,R+9,,,,,
Kentucky,6,R+7,,,,,
Louisiana,1,R+19,,,,,
Louisiana,2,D+27,,,,,
Louisiana,3,R+6,,,,,
Louisiana,4,R+7,,,,,
Louisiana,5,R+10,,,,,
Louisiana,6,R+7,,,,,
Louisiana,7,R+8,,,,,
Maine,1,D+5,,,,,
Maine,2,D+3,,,,,
Maryland,1,R+11,,,,,
Maryland,2,D+7,,,,,
Maryland,3,D+6,,,,,
Maryland,4,D+29,,,,,
Maryland,5,D+8,,,,,
Maryland,6,R+14,,,,,
Maryland,7,D+24,,,,,
Maryland,8,D+19,,,,,
Massachusetts,1,D+14,,,,,
Massachusetts,2,D+12,,,,,
Massachusetts,3,D+12,,,,,
Massachusetts,4,D+18,,,,,
Massachusetts,5,D+10,,,,,
Massachusetts,6,D+11,,,,,
Massachusetts,7,D+18,,,,,
Massachusetts,8,D+32,,,,,
Massachusetts,9,D+14,,,,,
Massachusetts,10,D+8,,,,,
Michigan,1,R+3,,,,,
Michigan,2,R+10,,,,,
Michigan,3,R+10,,,,,
Michigan,4,R+5,,,,,
Michigan,5,D+11,,,,,
Michigan,6,R+3,,,,,
Michigan,7,R+3,,,,,
Michigan,8,R+3,,,,,
Michigan,9,R+1,,,,,
Michigan,10,R+5,,,,,
Michigan,11,R+2,,,,,
Michigan,12,D+12,,,,,
Michigan,13,D+31,,,,,
Michigan,14,D+33,,,,,
Michigan,15,D+12,,,,,
Minnesota,1,R+2,,,,,
Minnesota,2,R+3,,,,,
Minnesota,3,R+1,,,,,
Minnesota,4,D+12,,,,,
Minnesota,5,D+21,,,,,
Minnesota,6,R+6,,,,,
Minnesota,7,R+6,,,,,
Minnesota,8,D+4,,,,,
Mississippi,1,R+11,,,,,
Mississippi,2,D+9,,,,,
Mississippi,3,R+15,,,,,
Mississippi,4,R+17,,,,,
Missouri,1,D+25,,,,,
Missouri,2,R+10,,,,,
Missouri,3,D+7,,,,,
Missouri,4,R+12,,,,,
Missouri,5,D+11,,,,,
Missouri,6,R+6,,,,,
Missouri,7,R+15,,,,,
Missouri,8,R+12,,,,,
Missouri,9,R+7,,,,,
Montana,99,R+12,,,,,
Nebraska,1,R+12,,,,,
Nebraska,2,R+10,,,,,
Nebraska,3,R+24,,,,,
Nevada,1,D+8,,,,,
Nevada,2,R+9,,,,,
Nevada,3,EVEN,,,,,
New Hampshire,1,R+1,,,,,
New Hampshire,2,D+2,,,,,
New Jersey,1,D+13,,,,,
New Jersey,2,D+3,,,,,
New Jersey,3,D+3,,,,,
New Jersey,4,R+2,,,,,
New Jersey,5,R+5,,,,,
New Jersey,6,D+11,,,,,
New Jersey,7,R+1,,,,,
New Jersey,8,D+11,,,,,
New Jersey,9,D+12,,,,,
New Jersey,10,D+34,,,,,
New Jersey,11,R+6,,,,,
New Jersey,12,D+7,,,,,
New Jersey,13,D+22,,,,,
New Mexico,1,D+2,,,,,
New Mexico,2,R+6,,,,,
New Mexico,3,D+5,,,,,
New York,1,D+3,,,,,
New York,2,D+7,,,,,
New York,3,D+1,,,,,
New York,4,D+9,,,,,
New York,5,D+17,,,,,
New York,6,D+38,,,,,
New York,7,D+27,,,,,
New York,8,D+27,,,,,
New York,9,D+13,,,,,
New York,10,D+40,,,,,
New York,11,D+39,,,,,
New York,12,D+33,,,,,
New York,13,EVEN,,,,,
New York,14,D+26,,,,,
New York,15,D+42,,,,,
New York,16,D+43,,,,,
New York,17,D+20,,,,,
New York,18,D+9,,,,,
New York,19,R+2,,,,,
New York,20,R+3,,,,,
New York,21,D+8,,,,,
New York,22,D+5,,,,,
New York,23,R+1,,,,,
New York,24,R+1,,,,,
New York,25,D+3,,,,,
New York,26,R+4,,,,,
New York,27,D+6,,,,,
New York,28,D+14,,,,,
New York,29,R+6,,,,,
North Carolina,1,D+8,,,,,
North Carolina,2,R+3,,,,,
North Carolina,3,R+16,,,,,
North Carolina,4,D+5,,,,,
North Carolina,5,R+16,,,,,
North Carolina,6,R+18,,,,,
North Carolina,7,R+4,,,,,
North Carolina,8,R+4,,,,,
North Carolina,9,R+13,,,,,
North Carolina,10,R+16,,,,,
North Carolina,11,R+8,,,,,
North Carolina,12,D+11,,,,,
North Carolina,13,D+2,,,,,
North Dakota,99,R+14,,,,,
Ohio,1,R+1,,,,,
Ohio,2,R+14,,,,,
Ohio,3,R+4,,,,,
Ohio,4,R+14,,,,,
Ohio,5,R+11,,,,,
Ohio,6,EVEN,,,,,
