State,District,PVI,,,
Alabama,1,R+14,,,
Alabama,2,R+16,,,
Alabama,3,R+9,,,
Alabama,4,R+26,,,
Alabama,5,R+12,,,
Alabama,6,R+29,,,
Alabama,7,D+18,,,
Alaska,99,R+13,,,
Arizona,1,R+6,,,
Arizona,2,R+13,,,
Arizona,3,R+9,,,
Arizona,4,D+13,,,
Arizona,5,R+5,,,
Arizona,6,R+15,,,
Arizona,7,D+6,,,
Arizona,8,R+4,,,
Arkansas,1,R+8,,,
Arkansas,2,R+5,,,
Arkansas,3,R+16,,,
Arkansas,4,R+7,,,
California,1,D+13,,,
California,2,R+11,,,
California,3,R+6,,,
California,4,R+10,,,
California,5,D+15,,,
California,6,D+23,,,
California,7,D+19,,,
California,8,D+35,,,
California,9,D+37,,,
California,10,D+11,,,
California,11,R+1,,,
California,12,D+23,,,
California,13,D+23,,,
California,14,D+21,,,
California,15,D+15,,,
California,16,D+16,,,
California,17,D+19,,,
California,18,D+4,,,
California,19,R+9,,,
California,20,D+5,,,
California,21,R+13,,,
California,22,R+16,,,
California,23,D+12,,,
California,24,R+4,,,
California,25,R+6,,,
California,26,R+3,,,
California,27,D+13,,,
California,28,D+23,,,
California,29,D+14,,,
California,30,D+18,,,
California,31,D+29,,,
California,32,D+15,,,
California,33,D+35,,,
California,34,D+22,,,
California,35,D+31,,,
California,36,D+12,,,
California,37,D+27,,,
California,38,D+18,,,
California,39,D+12,,,
California,40,R+8,,,
California,41,R+10,,,
California,42,R+10,,,
California,43,D+13,,,
California,44,R+6,,,
California,45,R+3,,,
California,46,R+6,,,
California,47,D+4,,,
California,48,R+6,,,
California,49,R+10,,,
California,50,R+3,,,
California,51,D+8,,,
California,52,R+9,,,
California,53,D+15,,,
Colorado,1,D+21,,,
Colorado,2,D+11,,,
Colorado,3,R+5,,,
Colorado,4,R+6,,,
Colorado,5,R+14,,,
Colorado,6,R+8,,,
Colorado,7,D+4,,,
Connecticut,1,D+13,,,
Connecticut,2,D+6,,,
Connecticut,3,D+9,,,
Connecticut,4,D+5,,,
Connecticut,5,D+2,,,
Delaware,99,D+7,,,
Florida,1,R+21,,,
Florida,2,R+6,,,
Florida,3,D+18,,,
Florida,4,R+17,,,
Florida,5,R+9,,,
Florida,6,R+10,,,
Florida,7,R+7,,,
Florida,8,R+2,,,
Florida,9,R+6,,,
Florida,10,R+1,,,
Florida,11,D+11,,,
Florida,12,R+6,,,
Florida,13,R+6,,,
Florida,14,R+11,,,
Florida,15,R+6,,,
Florida,16,R+5,,,
Florida,17,D+34,,,
Florida,18,R+3,,,
Florida,19,D+15,,,
Florida,20,D+13,,,
Florida,21,R+5,,,
Florida,22,D+1,,,
Florida,23,D+28,,,
Florida,24,R+4,,,
Florida,25,R+5,,,
Georgia,1,R+16,,,
Georgia,2,D+1,,,
Georgia,3,R+19,,,
Georgia,4,D+24,,,
Georgia,5,D+26,,,
Georgia,6,R+19,,,
Georgia,7,R+16,,,
Georgia,8,R+10,,,
Georgia,9,R+28,,,
Georgia,10,R+15,,,
Georgia,11,R+20,,,
Georgia,12,D+1,,,
Georgia,13,D+15,,,
Hawaii,1,D+11,,,
Hawaii,2,D+14,,,
Idaho,1,R+18,,,
Idaho,2,R+17,,,
Illinois,1,D+34,,,
Illinois,2,D+36,,,
Illinois,3,D+11,,,
Illinois,4,D+32,,,
Illinois,5,D+19,,,
Illinois,6,D+1,,,
Illinois,7,D+35,,,
Illinois,8,R+1,,,
Illinois,9,D+20,,,
Illinois,10,D+6,,,
Illinois,11,R+1,,,
Illinois,12,D+3,,,
Illinois,13,R+1,,,
Illinois,14,R+1,,,
Illinois,15,R+6,,,
Illinois,16,R+2,,,
Illinois,17,D+3,,,
Illinois,18,R+6,,,
Illinois,19,R+9,,,
Indiana,1,D+8,,,
Indiana,2,R+2,,,
Indiana,3,R+14,,,
Indiana,4,R+14,,,
Indiana,5,R+17,,,
Indiana,6,R+10,,,
Indiana,7,D+14,,,
Indiana,8,R+8,,,
Indiana,9,R+6,,,
Iowa,1,D+5,,,
Iowa,2,D+7,,,
Iowa,3,D+1,,,
Iowa,4,EVEN,,,
Iowa,5,R+9,,,
Kansas,1,R+23,,,
Kansas,2,R+9,,,
Kansas,3,R+3,,,
Kansas,4,R+14,,,
Kentucky,1,R+15,,,
Kentucky,2,R+15,,,
Kentucky,3,D+2,,,
Kentucky,4,R+14,,,
Kentucky,5,R+16,,,
Kentucky,6,R+9,,,
Louisiana,1,R+24,,,
Louisiana,2,D+25,,,
Louisiana,3,R+12,,,
Louisiana,4,R+11,,,
Louisiana,5,R+14,,,
Louisiana,6,R+10,,,
Louisiana,7,R+14,,,
Maine,1,D+8,,,
Maine,2,D+3,,,
Maryland,1,R+13,,,
Maryland,2,D+7,,,
Maryland,3,D+6,,,
Maryland,4,D+31,,,
Maryland,5,D+11,,,
Maryland,6,R+13,,,
Maryland,7,D+25,,,
Maryland,8,D+21,,,
Massachusetts,1,D+14,,,
Massachusetts,2,D+9,,,
Massachusetts,3,D+9,,,
Massachusetts,4,D+14,,,
Massachusetts,5,D+8,,,
Massachusetts,6,D+7,,,
Massachusetts,7,D+15,,,
Massachusetts,8,D+32,,,
Massachusetts,9,D+11,,,
Massachusetts,10,D+5,,,
Michigan,1,R+3,,,
Michigan,2,R+7,,,
Michigan,3,R+6,,,
Michigan,4,R+3,,,
Michigan,5,D+11,,,
Michigan,6,EVEN,,,
Michigan,7,R+2,,,
Michigan,8,R+2,,,
Michigan,9,D+2,,,
Michigan,10,R+5,,,
Michigan,11,EVEN,,,
Michigan,12,D+12,,,
Michigan,13,D+31,,,
Michigan,14,D+34,,,
Michigan,15,D+13,,,
Minnesota,1,R+1,,,
Minnesota,2,R+4,,,
Minnesota,3,EVEN,,,
Minnesota,4,D+13,,,
Minnesota,5,D+23,,,
Minnesota,6,R+7,,,
Minnesota,7,R+5,,,
Minnesota,8,D+3,,,
Mississippi,1,R+14,,,
Mississippi,2,D+12,,,
Mississippi,3,R+15,,,
Mississippi,4,R+20,,,
Missouri,1,D+27,,,
Missouri,2,R+9,,,
Missouri,3,D+7,,,
Missouri,4,R+14,,,
Missouri,5,D+10,,,
Missouri,6,R+7,,,
Missouri,7,R+17,,,
Missouri,8,R+15,,,
Missouri,9,R+9,,,
Montana,99,R+7,,,
Nebraska,1,R+11,,,
Nebraska,2,R+6,,,
Nebraska,3,R+24,,,
Nevada,1,D+10,,,
Nevada,2,R+5,,,
Nevada,3,D+2,,,
New Hampshire,1,EVEN,,,
New Hampshire,2,D+3,,,
New Jersey,1,D+12,,,
New Jersey,2,D+1,,,
New Jersey,3,EVEN,,,
New Jersey,4,R+6,,,
New Jersey,5,R+7,,,
New Jersey,6,D+8,,,
New Jersey,7,R+3,,,
New Jersey,8,D+10,,,
New Jersey,9,D+9,,,
New Jersey,10,D+33,,,
New Jersey,11,R+7,,,
New Jersey,12,D+5,,,
New Jersey,13,D+21,,,
New Mexico,1,D+5,,,
New Mexico,2,R+6,,,
New Mexico,3,D+7,,,
New York,1,EVEN,,,
New York,2,D+4,,,
New York,3,R+4,,,
New York,4,D+6,,,
New York,5,D+12,,,
New York,6,D+36,,,
New York,7,D+26,,,
New York,8,D+22,,,
New York,9,D+5,,,
New York,10,D+38,,,
New York,11,D+38,,,
New York,12,D+33,,,
New York,13,R+4,,,
New York,14,D+26,,,
New York,15,D+41,,,
New York,16,D+41,,,
New York,17,D+18,,,
New York,18,D+9,,,
New York,19,R+3,,,
New York,20,R+2,,,
New York,21,D+6,,,
New York,22,D+6,,,
New York,23,R+1,,,
New York,24,R+2,,,
New York,25,D+3,,,
New York,26,R+6,,,
New York,27,D+4,,,
New York,28,D+15,,,
New York,29,R+5,,,
North Carolina,1,D+9,,,
North Carolina,2,R+2,,,
North Carolina,3,R+16,,,
North Carolina,4,D+8,,,
North Carolina,5,R+15,,,
North Carolina,6,R+18,,,
North Carolina,7,R+5,,,
North Carolina,8,R+2,,,
North Carolina,9,R+11,,,
North Carolina,10,R+17,,,
North Carolina,11,R+6,,,
North Carolina,12,D+16,,,
North Carolina,13,D+5,,,
North Dakota,99,R+10,,,
Ohio,1,D+1,,,
Ohio,2,R+13,,,
Ohio,3,R+5,,,
Ohio,4,R+14,,,
Ohio,5,R+9,,,
Ohio,6,R+2,,,
Ohio,7,R+7,,,
Ohio,8,R+14,,,
Ohio,9,D+10,,,
Ohio,10,D+8,,,
Ohio,11,D+32,,,
Ohio,12,D+1,,,
Ohio,13,D+5,,,
Ohio,14,R+3,,,
Ohio,15,D+1,,,
Ohio,16,R+4,,,
Ohio,17,D+12,,,
Ohio,18,R+7,,,
Oklahoma,1,R+16,,,
Oklahoma,2,R+14,,,
Oklahoma,3,R+23,,,
Oklahoma,4,R+18,,,
Oklahoma,5,R+13,,,
Oregon,1,D+8,,,
Oregon,2,R+10,,,
Oregon,3,D+19,,,
Oregon,4,D+2,,,
Oregon,5,D+1,,,
Pennsylvania,1,D+35,,,
Pennsylvania,2,D+38,,,
Pennsylvania,3,R+3,,,
Pennsylvania,4,R+6,,,
Pennsylvania,5,R+9,,,
Pennsylvania,6,D+4,,,
Pennsylvania,7,D+4,,,
Pennsylvania,8,D+2,,,
Pennsylvania,9,R+17,,,
Pennsylvania,10,R+8,,,
Pennsylvania,11,D+4,,,
Pennsylvania,12,R+1,,,
Pennsylvania,13,D+7,,,
Pennsylvania,14,D+19,,,
Pennsylvania,15,D+2,,,
Pennsylvania,16,R+8,,,
Pennsylvania,17,R+6,,,
Pennsylvania,18,R+6,,,
Pennsylvania,19,R+12,,,
Rhode Island,1,D+13,,,
Rhode Island,2,D+9,,,
South Carolina,1,R+10,,,
South Carolina,2,R+9,,,
South Carolina,3,R+17,,,
South Carolina,4,R+15,,,
South Carolina,5,R+7,,,
South Carolina,6,D+12,,,
South Dakota,99,R+9,,,
Tennessee,1,R+21,,,
Tennessee,2,R+16,,,
Tennessee,3,R+13,,,
Tennessee,4,R+13,,,
Tennessee,5,D+3,,,
Tennessee,6,R+13,,,
Tennessee,7,R+18,,,
Tennessee,8,R+6,,,
Tennessee,9,D+23,,,
Texas,1,R+21,,,
Texas,2,R+13,,,
Texas,3,R+14,,,
Texas,4,R+21,,,
Texas,5,R+17,,,
Texas,6,R+15,,,
Texas,7,R+13,,,
Texas,8,R+25,,,
Texas,9,D+22,,,
Texas,10,R+10,,,
Texas,11,R+28,,,
Texas,12,R+16,,,
Texas,13,R+29,,,
Texas,14,R+18,,,
Texas,15,D+3,,,
Texas,16,D+10,,,
Texas,17,R+20,,,
Texas,18,D+24,,,
Texas,19,R+26,,,
Texas,20,D+8,,,
Texas,21,R+14,,,
Texas,22,R+13,,,
Texas,23,R+4,,,
Texas,24,R+11,,,
Texas,25,D+6,,,
Texas,26,R+13,,,
Texas,27,R+2,,,
Texas,28,EVEN,,,
Texas,29,D+8,,,
Texas,30,D+27,,,
Texas,31,R+14,,,
Texas,32,R+8,,,
Utah,1,R+21,,,
Utah,2,R+15,,,
Utah,3,R+26,,,
Vermont,99,D+13,,,
Virginia,1,R+7,,,
Virginia,2,R+5,,,
Virginia,3,D+20,,,
Virginia,4,R+4,,,
Virginia,5,R+5,,,
Virginia,6,R+12,,,
Virginia,7,R+9,,,
Virginia,8,D+16,,,
Virginia,9,R+11,,,
Virginia,10,R+2,,,
Virginia,11,D+2,,,
Washington,1,D+9,,,
Washington,2,D+3,,,
Washington,3,EVEN,,,
Washington,4,R+13,,,
Washington,5,R+7,,,
Washington,6,D+5,,,
Washington,7,D+31,,,
Washington,8,D+3,,,
Washington,9,D+5,,,
West Virginia,1,R+9,,,
West Virginia,2,R+8,,,
West Virginia,3,R+6,,,
Wisconsin,1,R+2,,,
Wisconsin,2,D+15,,,
Wisconsin,3,D+4,,,
Wisconsin,4,D+22,,,
Wisconsin,5,R+12,,,
Wisconsin,6,R+4,,,
Wisconsin,7,D+3,,,
Wisconsin,8,R+2,,,
Wyoming,99,R+20,,,
